1,"Home","home","top.webMenu.ChangeTitle('Aereus');top.home_main();"
2,"Mail","mail","top.webMenu.ChangeTitle('Mail');top.appmain.document.location='/email';"
3,"Contacts","contacts","top.webMenu.ChangeTitle('My Contacts');top.appmain.document.location='/contacts';"
4,"Calendar","calendar","top.webMenu.ChangeTitle('Calendar');top.appmain.document.location='/calendar';"
5,"Projects","projects","top.webMenu.ChangeTitle('Project &amp; Task Manager');top.appmain.document.location='/project';"
6,"Files","files","top.webMenu.ChangeTitle('Files');top.appmain.document.location='/userfiles'"
7,"Notes","notes","top.webMenu.ChangeTitle('Notes');top.appmain.document.location='/notes';"
8,"Customers","customers","top.webMenu.ChangeTitle('Customers');top.appmain.document.location='/customer';"
9,"Webtools","community","top.webMenu.ChangeTitle('Blog');top.appmain.document.location='/community';"
10,"Datacenter","datacenter","top.webMenu.ChangeTitle('Mail');top.Ant.Execute('/datacenter/datacenter.js', 'CDataCenter');"
10,"Infocenter","incocenter","top.webMenu.ChangeTitle('Infocenter');top.Ant.Execute('/infocenter/infocenter.js', 'CInfoCenter');"
