1,"Task Manager", "CWidTaskManager.js", "CWidTasks"
2,"Calendar","CWidCalendar.js","CWidCalendar"
3,"Web Search","CWidWebsearch.js","CWidWebsearch"
4,"Stock Ticker","CWidStocks.js","CWidStocks"
5,"Welcome","CWidWelcome.js","CWidWelcome"
6,"RSS Favorites","CWidRssManager.js","CWidRssManager"
8,"Friends Online","CWidFriends.js","CWidFriends"
10,"Bookmarks","CWidBookmarks.js","CWidBookmarks"
11,"Settings","CWidSettings.js","CWidSettings"
12,"Weather","CWidWeather.js","CWidWeather"
13,"RSS Reader","CWidRss.js","CWidRss"
14,"Report Viewer","CWidReport.js","CWidReport"
